t_s,bloque,repeticion,pgaout,orden,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref,codigos_idac
143.16,CONTROL,26,1,4-3-2-1-0,2,OPA_SUMo,1009209.0,271.0,True,True,True,153.53013129999894,"[12, 0, 0, 0]"
143.52,CONTROL,26,1,4-3-2-1-0,1,BPo,1003554.0,269.0,True,True,True,40.906847799999476,"[12, 0, 0, 0]"
143.88,CONTROL,26,1,4-3-2-1-0,0,PGAgain,1001593.0,252.0,True,True,True,1.8521600999992212,"[12, 0, 0, 0]"
144.24,CONTROL,27,1,0-1-2-3-4,0,PGAgain,1001514.0,260.0,True,True,True,0.27881980000019924,"[12, 0, 0, 0]"
144.6,CONTROL,27,1,0-1-2-3-4,1,BPo,1003506.0,263.0,True,True,True,39.95089419999944,"[12, 0, 0, 0]"
144.96,CONTROL,27,1,0-1-2-3-4,2,OPA_SUMo,1009225.0,247.0,True,True,True,153.84878250000045,"[12, 0, 0, 0]"
145.32,CONTROL,27,1,0-1-2-3-4,3,SUMo,1011249.0,257.0,True,True,True,194.15815930000048,"[12, 0, 0, 0]"
145.68,CONTROL,27,1,0-1-2-3-4,4,LPo,875007.0,252.0,True,False,True,-2519.1966401000013,"[12, 0, 0, 0]"
146.04,CONTROL,28,1,4-3-2-1-0,4,LPo,875002.0,266.0,True,False,True,-2519.296218600001,"[12, 0, 0, 0]"
146.4,CONTROL,28,1,4-3-2-1-0,3,SUMo,1011222.0,277.0,True,True,True,193.62043539999962,"[12, 0, 0, 0]"
146.76,CONTROL,28,1,4-3-2-1-0,2,OPA_SUMo,1009232.0,260.0,True,True,True,153.98819239999943,"[12, 0, 0, 0]"
147.12,CONTROL,28,1,4-3-2-1-0,1,BPo,1003537.0,257.0,True,True,True,40.56828090000069,"[12, 0, 0, 0]"
147.48,CONTROL,28,1,4-3-2-1-0,0,PGAgain,1001504.0,244.0,True,True,True,0.07966280000038038,"[12, 0, 0, 0]"
147.84,CONTROL,29,1,0-1-2-3-4,0,PGAgain,1001544.0,259.0,True,True,True,0.8762907999996559,"[12, 0, 0, 0]"
148.2,CONTROL,29,1,0-1-2-3-4,1,BPo,1003514.0,255.0,True,True,True,40.1102198000002,"[12, 0, 0, 0]"
148.56,CONTROL,29,1,0-1-2-3-4,2,OPA_SUMo,1009176.0,262.0,True,True,True,152.8729132000009,"[12, 0, 0, 0]"
148.92,CONTROL,29,1,0-1-2-3-4,3,SUMo,1011193.0,264.0,True,True,True,193.04288009999968,"[12, 0, 0, 0]"
149.28,CONTROL,29,1,0-1-2-3-4,4,LPo,875000.0,259.0,True,False,True,-2519.3360500000003,"[12, 0, 0, 0]"
149.64,CONTROL,30,1,4-3-2-1-0,4,LPo,875000.0,259.0,True,False,True,-2519.3360500000003,"[12, 0, 0, 0]"
150.0,CONTROL,30,1,4-3-2-1-0,3,SUMo,1011188.0,254.0,True,True,True,192.94330159999978,"[12, 0, 0, 0]"
150.36,CONTROL,30,1,4-3-2-1-0,2,OPA_SUMo,1009199.0,248.0,True,True,True,153.33097429999913,"[12, 0, 0, 0]"
150.72,CONTROL,30,1,4-3-2-1-0,1,BPo,1003487.0,262.0,True,True,True,39.57249589999933,"[12, 0, 0, 0]"
151.08,CONTROL,30,1,4-3-2-1-0,0,PGAgain,1001596.0,269.0,True,True,True,1.9119072000000725,"[12, 0, 0, 0]"
151.44,CONTROL,31,1,0-1-2-3-4,0,PGAgain,1001566.0,254.0,True,True,True,1.314436200000616,"[12, 0, 0, 0]"
151.8,CONTROL,31,1,0-1-2-3-4,1,BPo,1003512.0,278.0,True,True,True,40.070388399998876,"[12, 0, 0, 0]"
152.16,CONTROL,31,1,0-1-2-3-4,2,OPA_SUMo,1009210.0,277.0,True,True,True,153.55004700000075,"[12, 0, 0, 0]"
152.52,CONTROL,31,1,0-1-2-3-4,3,SUMo,1011127.0,242.0,True,True,True,191.72844389999906,"[12, 0, 0, 0]"
152.88,CONTROL,31,1,0-1-2-3-4,4,LPo,875008.0,272.0,True,False,True,-2519.1767243999993,"[12, 0, 0, 0]"
153.24,CONTROL,32,1,4-3-2-1-0,4,LPo,875000.0,281.0,True,False,True,-2519.3360500000003,"[12, 0, 0, 0]"
153.6,CONTROL,32,1,4-3-2-1-0,3,SUMo,1011219.0,277.0,True,True,True,193.56068830000103,"[12, 0, 0, 0]"
153.96,CONTROL,32,1,4-3-2-1-0,2,OPA_SUMo,1009191.0,265.0,True,True,True,153.17164870000062,"[12, 0, 0, 0]"
154.32,CONTROL,32,1,4-3-2-1-0,1,BPo,1003479.0,254.0,True,True,True,39.413170300000836,"[12, 0, 0, 0]"
154.68,CONTROL,32,1,4-3-2-1-0,0,PGAgain,1001570.0,256.0,True,True,True,1.3940990000009963,"[12, 0, 0, 0]"
155.04,CONTROL,33,1,0-1-2-3-4,0,PGAgain,1001502.0,274.0,True,True,True,0.03983139999905812,"[12, 0, 0, 0]"
155.4,CONTROL,33,1,0-1-2-3-4,1,BPo,1003499.0,274.0,True,True,True,39.81148430000047,"[12, 0, 0, 0]"
155.76,CONTROL,33,1,0-1-2-3-4,2,OPA_SUMo,1009191.0,264.0,True,True,True,153.17164870000062,"[12, 0, 0, 0]"
156.12,CONTROL,33,1,0-1-2-3-4,3,SUMo,1011245.0,245.0,True,True,True,194.0784965000001,"[12, 0, 0, 0]"
156.48,CONTROL,33,1,0-1-2-3-4,4,LPo,875000.0,271.0,True,False,True,-2519.3360500000003,"[12, 0, 0, 0]"
156.84,CONTROL,34,1,4-3-2-1-0,4,LPo,875031.0,272.0,True,False,True,-2518.718663300001,"[12, 0, 0, 0]"
157.2,CONTROL,34,1,4-3-2-1-0,3,SUMo,1011202.0,263.0,True,True,True,193.22212139999996,"[12, 0, 0, 0]"
157.56,CONTROL,34,1,4-3-2-1-0,2,OPA_SUMo,1009214.0,284.0,True,True,True,153.6297098000011,"[12, 0, 0, 0]"
157.92,CONTROL,34,1,4-3-2-1-0,1,BPo,1003479.0,251.0,True,True,True,39.413170300000836,"[12, 0, 0, 0]"
158.28,CONTROL,34,1,4-3-2-1-0,0,PGAgain,1001532.0,312.0,True,True,False,0.6373024000007789,"[12, 0, 0, 0]"
158.64,CONTROL,35,1,0-1-2-3-4,0,PGAgain,1001439.0,262.0,True,True,True,-1.2148577000007066,"[12, 0, 0, 0]"
159.0,CONTROL,35,1,0-1-2-3-4,1,BPo,1003476.0,284.0,True,True,True,39.35342319999999,"[12, 0, 0, 0]"
159.36,CONTROL,35,1,0-1-2-3-4,2,OPA_SUMo,1009172.0,280.0,True,True,True,152.79325040000052,"[12, 0, 0, 0]"
159.72,CONTROL,35,1,0-1-2-3-4,3,SUMo,1011183.0,250.0,True,True,True,192.84372309999986,"[12, 0, 0, 0]"
160.08,CONTROL,35,1,0-1-2-3-4,4,LPo,875004.0,253.0,True,False,True,-2519.2563871999996,"[12, 0, 0, 0]"
160.44,CONTROL,36,1,4-3-2-1-0,4,LPo,875041.0,283.0,True,False,True,-2518.519506299999,"[12, 0, 0, 0]"
160.8,CONTROL,36,1,4-3-2-1-0,3,SUMo,1011117.0,259.0,True,True,True,191.52928689999925,"[12, 0, 0, 0]"
161.16,CONTROL,36,1,4-3-2-1-0,2,OPA_SUMo,1009222.0,253.0,True,True,True,153.78903539999962,"[12, 0, 0, 0]"
161.52,CONTROL,36,1,4-3-2-1-0,1,BPo,1003472.0,262.0,True,True,True,39.2737603999996,"[12, 0, 0, 0]"
161.88,CONTROL,36,1,4-3-2-1-0,0,PGAgain,1001566.0,286.0,True,True,True,1.314436200000616,"[12, 0, 0, 0]"
162.24,CONTROL,37,1,0-1-2-3-4,0,PGAgain,1001539.0,263.0,True,True,True,0.7767122999997464,"[12, 0, 0, 0]"
162.6,CONTROL,37,1,0-1-2-3-4,1,BPo,1003481.0,287.0,True,True,True,39.453001699999895,"[12, 0, 0, 0]"
162.96,CONTROL,37,1,0-1-2-3-4,2,OPA_SUMo,1009136.0,275.0,True,True,True,152.07628519999935,"[12, 0, 0, 0]"
163.32,CONTROL,37,1,0-1-2-3-4,3,SUMo,1011189.0,282.0,True,True,True,192.96321729999931,"[12, 0, 0, 0]"
163.68,CONTROL,37,1,0-1-2-3-4,4,LPo,875007.0,272.0,True,False,True,-2519.1966401000013,"[12, 0, 0, 0]"
164.04,CONTROL,38,1,4-3-2-1-0,4,LPo,875000.0,309.0,True,False,False,-2519.3360500000003,"[12, 0, 0, 0]"
164.4,CONTROL,38,1,4-3-2-1-0,3,SUMo,1011163.0,259.0,True,True,True,192.44540910000023,"[12, 0, 0, 0]"
164.76,CONTROL,38,1,4-3-2-1-0,2,OPA_SUMo,1009154.0,272.0,True,True,True,152.43476779999995,"[12, 0, 0, 0]"
165.12,CONTROL,38,1,4-3-2-1-0,1,BPo,1003423.0,288.0,True,True,True,38.29789110000004,"[12, 0, 0, 0]"
165.48,CONTROL,38,1,4-3-2-1-0,0,PGAgain,1001558.0,255.0,True,True,True,1.1551105999998552,"[12, 0, 0, 0]"
165.84,CONTROL,39,1,0-1-2-3-4,0,PGAgain,1001541.0,246.0,True,True,True,0.8165437000010687,"[12, 0, 0, 0]"
166.2,CONTROL,39,1,0-1-2-3-4,1,BPo,1003504.0,244.0,True,True,True,39.91106280000038,"[12, 0, 0, 0]"
