t_s,pasada,idac0,idac1,idac2,fase,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
628.34,1,12,-64,255,malla,4,LPo,875037.0,311.0,True,False,False,-2518.5991690999995
630.2,1,12,-64,-72,fino,0,PGAgain,1001484.0,283.0,True,True,True,-0.3186511999992574
630.56,1,12,-64,-72,fino,1,BPo,997740.0,260.0,True,True,True,-74.88303199999983
630.92,1,12,-64,-72,fino,2,OPA_SUMo,979008.0,278.0,True,True,True,-447.9439243999993
631.28,1,12,-64,-72,fino,3,SUMo,980993.0,274.0,True,True,True,-408.411259899999
631.64,1,12,-64,-72,fino,4,LPo,875003.0,282.0,True,False,True,-2519.2763028999993
633.5,1,12,-64,-68,fino,0,PGAgain,1001472.0,301.0,True,True,False,-0.5576396000003985
633.86,1,12,-64,-68,fino,1,BPo,997736.0,262.0,True,True,True,-74.96269480000021
634.22,1,12,-64,-68,fino,2,OPA_SUMo,981997.0,274.0,True,True,True,-388.41589710000085
634.58,1,12,-64,-68,fino,3,SUMo,983968.0,251.0,True,True,True,-349.1620524000008
634.94,1,12,-64,-68,fino,4,LPo,875000.0,277.0,True,False,True,-2519.3360500000003
636.8,1,12,-64,-66,fino,0,PGAgain,1001535.0,280.0,True,True,True,0.697049499999366
637.16,1,12,-64,-66,fino,1,BPo,997748.0,285.0,True,True,True,-74.72370639999906
637.52,1,12,-64,-66,fino,2,OPA_SUMo,983454.0,255.0,True,True,True,-359.398722200001
637.88,1,12,-64,-66,fino,3,SUMo,985381.0,253.0,True,True,True,-321.02116830000057
638.24,1,12,-64,-66,fino,4,LPo,875049.0,246.0,True,False,True,-2518.3601807000005
