sector,phi_deg,theta_deg,gamma_deg,rho_paso_mm,x_perfil_mm,y_perfil_mm,radio_perfil_mm,mu_deg
subida,70.000,-11.1605,125.9820,99.2285,-42.2678,68.3387,80.3539,6.944
subida,70.500,-11.0911,125.5091,99.4846,-41.8342,68.9160,80.6196,6.981
subida,71.000,-11.0212,125.0363,99.7425,-41.3954,69.4918,80.8869,7.018
subida,71.500,-10.9509,124.5639,100.0022,-40.9515,70.0662,81.1560,7.053
subida,72.000,-10.8800,124.0916,100.2637,-40.5023,70.6392,81.4269,7.088
subida,72.500,-10.8086,123.6196,100.5269,-40.0479,71.2107,81.6994,7.122
subida,73.000,-10.7368,123.1478,100.7919,-39.5883,71.7806,81.9737,7.154
subida,73.500,-10.6644,122.6762,101.0587,-39.1234,72.3489,82.2497,7.186
subida,74.000,-10.5916,122.2049,101.3273,-38.6533,72.9157,82.5274,7.217
subida,74.500,-10.5183,121.7338,101.5977,-38.1779,73.4807,82.8068,7.247
subida,75.000,-10.4444,121.2630,101.8698,-37.6973,74.0441,83.0880,7.276
subida,75.500,-10.3701,120.7924,102.1438,-37.2113,74.6058,83.3709,7.304
subida,76.000,-10.2953,120.3220,102.4195,-36.7200,75.1656,83.6555,7.331
subida,76.500,-10.2200,119.8519,102.6970,-36.2235,75.7237,83.9418,7.357
subida,77.000,-10.1442,119.3820,102.9762,-35.7216,76.2799,84.2298,7.383
subida,77.500,-10.0679,118.9123,103.2573,-35.2143,76.8342,84.5195,7.407
subida,78.000,-9.9911,118.4429,103.5401,-34.7018,77.3866,84.8109,7.431
subida,78.500,-9.9138,117.9738,103.8247,-34.1838,77.9369,85.1041,7.453
subida,79.000,-9.8360,117.5048,104.1111,-33.6605,78.4853,85.3989,7.475
subida,79.500,-9.7578,117.0361,104.3992,-33.1318,79.0316,85.6954,7.495
subida,80.000,-9.6790,116.5677,104.6891,-32.5978,79.5758,85.9937,7.515
subida,80.500,-9.5998,116.0995,104.9808,-32.0583,80.1178,86.2936,7.534
subida,81.000,-9.5200,115.6315,105.2742,-31.5134,80.6576,86.5953,7.552
subida,81.500,-9.4398,115.1638,105.5694,-30.9631,81.1952,86.8986,7.569
subida,82.000,-9.3590,114.6963,105.8664,-30.4074,81.7305,87.2037,7.586
subida,82.500,-9.2778,114.2290,106.1651,-29.8463,82.2634,87.5104,7.601
subida,83.000,-9.1960,113.7620,106.4657,-29.2797,82.7940,87.8189,7.616
subida,83.500,-9.1138,113.2953,106.7679,-28.7077,83.3222,88.1290,7.629
subida,84.000,-9.0311,112.8288,107.0720,-28.1302,83.8479,88.4408,7.642
subida,84.500,-8.9479,112.3625,107.3777,-27.5473,84.3710,88.7543,7.654
subida,85.000,-8.8642,111.8965,107.6853,-26.9590,84.8917,89.0695,7.665
subida,85.500,-8.7800,111.4307,107.9946,-26.3651,85.4097,89.3864,7.675
subida,86.000,-8.6953,110.9652,108.3057,-25.7658,85.9250,89.7050,7.684
subida,86.500,-8.6101,110.4999,108.6185,-25.1610,86.4376,90.0252,7.693
subida,87.000,-8.5244,110.0349,108.9331,-24.5507,86.9475,90.3472,7.700
subida,87.500,-8.4383,109.5701,109.2494,-23.9350,87.4546,90.6708,7.707
subida,88.000,-8.3516,109.1055,109.5675,-23.3137,87.9589,90.9961,7.713
subida,88.500,-8.2644,108.6412,109.8873,-22.6870,88.4602,91.3231,7.718
subida,89.000,-8.1768,108.1772,110.2089,-22.0548,88.9586,91.6517,7.722
subida,89.500,-8.0886,107.7134,110.5323,-21.4171,89.4540,91.9821,7.725
subida,90.000,-8.0000,107.2498,110.8573,-20.7739,89.9463,92.3141,7.728
subida,90.500,-7.9109,106.7865,111.1842,-20.1251,90.4356,92.6478,7.729
subida,91.000,-7.8212,106.3235,111.5128,-19.4709,90.9216,92.9831,7.730
subida,91.500,-7.7311,105.8607,111.8431,-18.8112,91.4045,93.3202,7.730
subida,92.000,-7.6405,105.3982,112.1751,-18.1460,91.8842,93.6589,7.729
subida,92.500,-7.5494,104.9359,112.5089,-17.4753,92.3605,93.9992,7.728
subida,93.000,-7.4578,104.4738,112.8445,-16.7992,92.8335,94.3413,7.725
subida,93.500,-7.3657,104.0120,113.1818,-16.1175,93.3031,94.6850,7.722
subida,94.000,-7.2731,103.5505,113.5208,-15.4303,93.7692,95.0303,7.718
subida,94.500,-7.1800,103.0892,113.8615,-14.7377,94.2319,95.3774,7.713
subida,95.000,-7.0864,102.6282,114.2040,-14.0395,94.6909,95.7261,7.707
subida,95.500,-6.9923,102.1674,114.5482,-13.3359,95.1464,96.0764,7.701
subida,96.000,-6.8978,101.7068,114.8942,-12.6268,95.5982,96.4284,7.693
subida,96.500,-6.8027,101.2466,115.2419,-11.9122,96.0462,96.7821,7.685
subida,97.000,-6.7072,100.7865,115.5913,-11.1922,96.4905,97.1374,7.676
subida,97.500,-6.6111,100.3268,115.9424,-10.4667,96.9309,97.4944,7.667
subida,98.000,-6.5146,99.8673,116.2953,-9.7357,97.3675,97.8530,7.656
subida,98.500,-6.4175,99.4080,116.6498,-8.9993,97.8002,98.2133,7.645
subida,99.000,-6.3200,98.9490,117.0062,-8.2575,98.2288,98.5753,7.633
subida,99.500,-6.2220,98.4902,117.3642,-7.5102,98.6534,98.9389,7.620
subida,100.000,-6.1235,98.0318,117.7239,-6.7575,99.0739,99.3041,7.607
subida,100.500,-6.0244,97.5735,118.0854,-5.9994,99.4903,99.6710,7.592
subida,101.000,-5.9249,97.1155,118.4486,-5.2359,99.9024,100.0395,7.577
subida,101.500,-5.8249,96.6578,118.8135,-4.4670,100.3103,100.4097,7.561
subida,102.000,-5.7244,96.2003,119.1801,-3.6927,100.7138,100.7815,7.545
subida,102.500,-5.6235,95.7431,119.5484,-2.9131,101.1130,101.1550,7.528
subida,103.000,-5.5220,95.2862,119.9184,-2.1280,101.5078,101.5301,7.509
subida,103.500,-5.4200,94.8295,120.2902,-1.3377,101.8980,101.9068,7.491
subida,104.000,-5.3175,94.3730,120.6636,-0.5420,102.2838,102.2852,7.471
subida,104.500,-5.2146,93.9168,121.0388,0.2591,102.6649,102.6652,7.451
subida,105.000,-5.1111,93.4609,121.4156,1.0654,103.0413,103.0469,7.430
subida,105.500,-5.0072,93.0052,121.7942,1.8770,103.4131,103.4301,7.408
subida,106.000,-4.9027,92.5498,122.1744,2.6939,103.7801,103.8150,7.385
subida,106.500,-4.7978,92.0947,122.5564,3.5161,104.1422,104.2016,7.362
subida,107.000,-4.6923,91.6398,122.9400,4.3435,104.4995,104.5897,7.338
subida,107.500,-4.5864,91.1851,123.3254,5.1761,104.8519,104.9795,7.314
subida,108.000,-4.4800,90.7308,123.7124,6.0139,105.1992,105.3710,7.288
subida,108.500,-4.3731,90.2766,124.1011,6.8570,105.5415,105.7640,7.262
subida,109.000,-4.2657,89.8228,124.4915,7.7052,105.8787,106.1587,7.235
subida,109.500,-4.1578,89.3692,124.8836,8.5585,106.2107,106.5550,7.208
subida,110.000,-4.0494,88.9159,125.2774,9.4170,106.5375,106.9529,7.179
subida,110.500,-3.9405,88.4628,125.6729,10.2806,106.8590,107.3524,7.151
subida,111.000,-3.8311,88.0100,126.0700,11.1493,107.1752,107.7535,7.121
subida,111.500,-3.7212,87.5574,126.4689,12.0230,107.4859,108.1563,7.091
subida,112.000,-3.6109,87.1051,126.8694,12.9018,107.7913,108.5606,7.060
subida,112.500,-3.5000,86.6531,127.2715,13.7856,108.0911,108.9666,7.028
subida,113.000,-3.3886,86.2013,127.6754,14.6745,108.3853,109.3742,6.996
subida,113.500,-3.2768,85.7498,128.0809,15.5682,108.6739,109.7834,6.962
subida,114.000,-3.1644,85.2985,128.4881,16.4670,108.9569,110.1942,6.929
subida,114.500,-3.0516,84.8476,128.8970,17.3706,109.2341,110.6066,6.894
subida,115.000,-2.9383,84.3968,129.3075,18.2792,109.5055,111.0206,6.859
subida,115.500,-2.8244,83.9464,129.7197,19.1926,109.7710,111.4362,6.823
subida,116.000,-2.7101,83.4962,130.1336,20.1109,110.0307,111.8534,6.787
subida,116.500,-2.5953,83.0462,130.5491,21.0339,110.2843,112.2722,6.750
subida,117.000,-2.4800,82.5965,130.9663,21.9618,110.5319,112.6926,6.712
subida,117.500,-2.3642,82.1471,131.3851,22.8944,110.7735,113.1146,6.674
subida,118.000,-2.2479,81.6980,131.8056,23.8317,111.0089,113.5382,6.635
subida,118.500,-2.1311,81.2491,132.2277,24.7737,111.2381,113.9634,6.595
subida,119.000,-2.0138,80.8004,132.6515,25.7204,111.4611,114.3902,6.555
subida,119.500,-1.8960,80.3521,133.0769,26.6717,111.6777,114.8185,6.514
subida,120.000,-1.7778,79.9040,133.5040,27.6276,111.8880,115.2485,6.472
subida,120.500,-1.6590,79.4561,133.9327,28.5881,112.0918,115.6800,6.430
subida,121.000,-1.5398,79.0085,134.3631,29.5531,112.2892,116.1131,6.387
subida,121.500,-1.4200,78.5612,134.7950,30.5226,112.4800,116.5478,6.343
subida,122.000,-1.2998,78.1142,135.2287,31.4965,112.6642,116.9840,6.299
subida,122.500,-1.1790,77.6674,135.6639,32.4748,112.8418,117.4219,6.254
subida,123.000,-1.0578,77.2209,136.1008,33.4576,113.0127,117.8613,6.209
subida,123.500,-0.9360,76.7746,136.5394,34.4447,113.1768,118.3022,6.163
subida,124.000,-0.8138,76.3286,136.9795,35.4361,113.3341,118.7448,6.116
subida,124.500,-0.6911,75.8829,137.4213,36.4317,113.4845,119.1889,6.069
subida,125.000,-0.5679,75.4374,137.8647,37.4316,113.6279,119.6346,6.021
subida,125.500,-0.4442,74.9922,138.3097,38.4357,113.7644,120.0818,5.973
subida,126.000,-0.3200,74.5473,138.7563,39.4439,113.8939,120.5306,5.923
subida,126.500,-0.1953,74.1026,139.2045,40.4562,114.0162,120.9810,5.874
subida,127.000,-0.0701,73.6582,139.6544,41.4726,114.1314,121.4329,5.823
subida,127.500,0.0556,73.2140,140.1058,42.4930,114.2394,121.8864,5.772
subida,128.000,0.1817,72.7702,140.5589,43.5174,114.3401,122.3414,5.721
subida,128.500,0.3084,72.3265,141.0136,44.5457,114.4335,122.7980,5.669
subida,129.000,0.4356,71.8832,141.4699,45.5779,114.5195,123.2561,5.616
subida,129.500,0.5632,71.4401,141.9277,46.6140,114.5981,123.7158,5.563
subida,130.000,0.6914,70.9973,142.3872,47.6538,114.6692,124.1770,5.509
subida,130.500,0.8200,70.5547,142.8483,48.6974,114.7328,124.6397,5.454
subida,131.000,0.9491,70.1124,143.3109,49.7447,114.7888,125.1040,5.399
subida,131.500,1.0788,69.6704,143.7752,50.7957,114.8372,125.5699,5.344
subida,132.000,1.2089,69.2286,144.2410,51.8503,114.8779,126.0372,5.287
subida,132.500,1.3395,68.7872,144.7084,52.9084,114.9108,126.5061,5.231
subida,133.000,1.4706,68.3459,145.1774,53.9700,114.9360,126.9766,5.173
subida,133.500,1.6022,67.9050,145.6479,55.0351,114.9533,127.4485,5.115
subida,134.000,1.7343,67.4643,146.1201,56.1036,114.9627,127.9220,5.057
subida,134.500,1.8669,67.0238,146.5938,57.1754,114.9642,128.3970,4.998
subida,135.000,2.0000,66.5836,147.0691,58.2506,114.9576,128.8735,4.938
subida,135.500,2.1336,66.1437,147.5459,59.3290,114.9430,129.3516,4.878
subida,136.000,2.2677,65.7041,148.0243,60.4105,114.9203,129.8311,4.817
subida,136.500,2.4022,65.2647,148.5043,61.4953,114.8895,130.3122,4.756
subida,137.000,2.5373,64.8256,148.9858,62.5831,114.8505,130.7948,4.694
subida,137.500,2.6728,64.3868,149.4689,63.6739,114.8032,131.2788,4.632
subida,138.000,2.8089,63.9482,149.9536,64.7677,114.7476,131.7644,4.569
subida,138.500,2.9454,63.5099,150.4397,65.8644,114.6836,132.2515,4.505
subida,139.000,3.0825,63.0719,150.9275,66.9640,114.6113,132.7401,4.441
subida,139.500,3.2200,62.6341,151.4167,68.0664,114.5306,133.2302,4.376
subida,140.000,3.3580,62.1966,151.9076,69.1715,114.4413,133.7218,4.311
subida,140.500,3.4965,61.7593,152.3999,70.2793,114.3435,134.2148,4.246
subida,141.000,3.6356,61.3223,152.8938,71.3897,114.2372,134.7094,4.179
subida,141.500,3.7751,60.8856,153.3892,72.5027,114.1222,135.2054,4.113
subida,142.000,3.9151,60.4492,153.8861,73.6182,113.9985,135.7030,4.045
subida,142.500,4.0556,60.0130,154.3846,74.7361,113.8661,136.2020,3.978
subida,143.000,4.1965,59.5771,154.8846,75.8564,113.7250,136.7025,3.909
subida,143.500,4.3380,59.1414,155.3861,76.9790,113.5750,137.2044,3.840
subida,144.000,4.4800,58.7060,155.8891,78.1038,113.4162,137.7079,3.771
